itemprop,valid_text,valid,text,href,status,check,page,title,url,load
uchredLaw,Соответствует.,True,"
Полномочия учредителя осуществляет
Министерство общего и профессионального образования Ростовской области
",,ok,Главный тег. Сведения о каждом учредителе образовательной организации,14,Основные сведения,/sveden/common,False
nameUchred,"Контент text не соответствует check, так как ""Министерство общего и профессионального образования Ростовской области"" является названием государственного органа, а не учредителя образовательной организации в контексте юридического или физического лица.",True,Министерство общего и профессионального образования Ростовской области,,ok,Наименование учредителя образовательной организации (юридическое или физическое лицо),14,Основные сведения,/sveden/common,False
addressUchred,"Контент не соответствует описанию в check. В тексте указано физическое адрес, а в check просят сведения о юридическом адресе учредителя.",True,"пер. Доломановский, 31, г. Ростов-на-Дону, 344082",,ok,Сведения о юридическом адресе учредителя,14,Основные сведения,/sveden/common,False
telUchred,"Контент text ""8 (863) 240-34-97"" не соответствует описанию в check ""Сведения о контактных телефонах"". В check ожидается более полное описание, например, ""Контактный телефон: 8 (863) 240-34-97"".",True,8 (863) 240-34-97,,ok,Сведения о контактных телефонах,14,Основные сведения,/sveden/common,False
mailUchred,"Содержимое text (""min@rostobr.ru"") соответствует описанию в check (""Сведения об адресе электронной почты"").",True,min@rostobr.ru,,ok,Сведения об адресе электронной почты,14,Основные сведения,/sveden/common,False
websiteUchred,Соответствует.,True,http://www.rostobr.ru,http://www.rostobr.ru/,ok,Сведения об адресе сайта учредителя в сети «Интернет»,14,Основные сведения,/sveden/common,False
address,"Контент text соответствует описанию в check. Оба текста передают информацию о местонахождении организации, указывая адрес.",True,"344025, Ростовская область, г. Ростов-на-Дону, 31-я линия, д. 4.",,ok,О месте нахождения образовательной организации,14,Основные сведения,/sveden/common,False
workTime,"Контент text соответствует описанию в check, так как он описывает режим и график работы образовательной организации (указывает дни и время работы, а также перерыв на обед).",True,"Понедельник – суббота с 08:30 до 17:00, перерыв на обед с 12.30 до 13.30",,ok,О режиме и графике работы образовательной организации,14,Основные сведения,/sveden/common,False
telephone,"Содержимое текста ""8 (863) 285-01-95"" не соответствует описанию в check ""О контактных телефонах образовательной организации"". В тексте приведено только одно контактное телефонное число, тогда как описание в check подразумевает более широкий контекст, связанный с контактными телефонами образовательной организации, например, список различных телефонов для различных целей (например, для абитуриентов, для родителей, для преподавателей и т.д.).",True,8 (863) 285-01-95,,ok,О контактных телефонах образовательной организации,14,Основные сведения,/sveden/common,False
licenseDocLink,"Контент text не соответствует описанию в check. В тексте не упоминается конкретно о лицензии на осуществление образовательной деятельности, а лишь дата и время выписки из реестра лицензий.",True,Выписка из реестра лицензий по состоянию на 10:51 «14» мая 2024 г.,https://disk.yandex.ru/i/QMmbB3sIlWJL5A,ok,О лицензии на осуществление образовательной деятельности (выписке из реестра лицензий на осуществление образовательной деятельности),14,Основные сведения,/sveden/common,False
accreditationDocLink,"Контент text не соответствует check по следующим причинам:
1. **Временной аспект**: В тексте указано время выписки (""10:37 «14» мая 2024 г.""), что не является необходимым условием для check.
2. **Исключения**: В check указаны исключения (образовательные программы дошкольного образования, программы подготовки научно-педагогических кадров в аспирантуре, образовательные программы для обучающихся с нарушением интеллекта, основные программы профессионального обучения, дополнительные образовательные программы), которые не упомянуты в тексте.
Таким образом, текст не содержит всех необходимых условий и исключений, описанных в check.",True,"Выписка из государственной информационной системы «Реестр организаций, осуществляющих образовательную деятельность по имеющим государственную аккредитацию образовательным программам» (по состоянию на 10:37 «14» мая 2024 г.).",https://disk.yandex.ru/i/-l5vgbfRxjH5Xg,ok,"О наличии или отсутствии государственной аккредитации образовательной деятельности по реализуемым образовательным программам, за исключением образовательных программ дошкольного образования, программ подготовки научно- педагогических кадров в аспирантуре (адъюнктуре), образовательных программ, реализуемых в соответствии с федеральным государственным образовательным стандартом образования обучающихся с нарушением интеллекта, основных программ профессионального обучения, дополнительных образовательных программ (выписке из государственной информационной системы «Реестр организаций, осуществляющих образовательную деятельность по имеющим государственную аккредитацию образовательным программам»)",15,Основные сведения,/sveden/common,True
addressPlaceSet,"Содержание текста не соответствует описанию в check. Check описывает места осуществления образовательной деятельности при использовании сетевой формы реализации образовательных программ, тогда как текст содержит адреса двух корпусов в г. Ростов-на-Дону без указания на их связь с образовательной деятельностью или сетевой формой.",True,"г. Ростов-на-Дону, пр. Таганрогский, 114 (корпус №1)  г. Ростов-на-Дону, ул. Московская, 49 (корпус №2)",,ok,О местах осуществления образовательной деятельности при использовании сетевой формы реализации образовательных программ,15,Основные сведения,/sveden/common,False
